pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,st_spectype,st_teff,st_rad,st_mass,st_met,sy_dist,st_spectype_main,st_spectype_encoded,Habitability_Score,temp_deviance,rad_deviance,Stellar_Compatibility,Is_Habitable
16 Cyg B b,16 Cyg B,3.0,1.0,Radial Velocity,1996.0,51.997325585,2.3,191.96932,797.0,1.676,G0 V,5711.97,1.159464,0.982996,0.0739,21.1397,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
16 Cyg B b,16 Cyg B,3.0,1.0,Radial Velocity,1996.0,51.997325585,2.3,191.96932,797.0,1.68,G3 V,5613.0,0.951815,0.959,-0.0039,21.1397,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
17 Sco b,17 Sco,1.0,1.0,Radial Velocity,2020.0,51.997325585,2.3,191.96932,797.0,1.45,K3 III,4157.0,25.92,1.22,-0.01,124.953,K,4,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
18 Del b,18 Del,2.0,1.0,Radial Velocity,2008.0,10.3392924,2.3,191.96932,797.0,2.54,G0 V,5613.0,0.951815,2.1,-0.0039,76.222,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
18 Del b,18 Del,2.0,1.0,Radial Velocity,2008.0,51.997325585,2.3,191.96932,797.0,2.476,G6 III,4980.0,8.8,2.1,-0.06,76.222,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
18 Del b,18 Del,2.0,1.0,Radial Velocity,2008.0,51.997325585,2.3,191.96932,797.0,2.6,G6 III,4979.0,8.5,2.3,-0.052,76.222,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1.0,1.0,Imaging,2008.0,10.3392924,2.3,191.96932,1800.0,330.0,G0 V,4045.3500000000004,1.31316,0.623,-0.0039,139.135,G,3,0.13245033112582782,5.25,1.2999999999999998,1.0,0
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1.0,1.0,Imaging,2008.0,10.3392924,2.3,191.96932,1700.0,330.0,G0 V,4060.0,0.951815,0.85,-0.0039,139.135,G,3,0.13883532587736214,4.902777777777778,1.2999999999999998,1.0,0
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1.0,1.0,Imaging,2008.0,10.3392924,3.933125,191.96932,1800.0,330.0,K7 V,4060.0,1.352,0.85,-0.0039,139.135,K,4,0.10889539236371061,5.25,2.933125,1.0,0
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1.0,1.0,Imaging,2008.0,10.3392924,2.3,191.96932,1700.0,330.0,K7 V,4060.0,0.951815,0.85,-0.0039,139.135,K,4,0.13883532587736214,4.902777777777778,1.2999999999999998,1.0,0
24 Boo b,24 Boo,1.0,1.0,Radial Velocity,2018.0,30.3506,2.3,191.96932,797.0,0.19,G3 IV,4893.0,10.64,0.99,-0.77,95.9863,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
24 Boo b,24 Boo,1.0,1.0,Radial Velocity,2018.0,30.33,2.3,191.96932,797.0,0.194,G3 IV,4816.0,12.19,1.05,-0.78,95.9863,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
24 Sex b,24 Sex,1.0,2.0,Radial Velocity,2010.0,51.997325585,2.3,191.96932,797.0,1.333,G0 V,5098.0,4.9,1.54,-0.03,72.0691,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
24 Sex c,24 Sex,1.0,2.0,Radial Velocity,2010.0,51.997325585,2.3,191.96932,797.0,2.08,G0 V,5098.0,4.9,1.54,-0.03,72.0691,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
2M0437 b,2MASS J04372171+2651014,1.0,1.0,Imaging,2021.0,10.3392924,2.3,191.96932,1450.0,118.0,M V,4045.3500000000004,0.84,0.17,0.01,128.484,M,5,0.1578601183950888,4.034722222222222,1.2999999999999998,0.5,0
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2.0,1.0,Imaging,2013.0,10.3392924,2.3,191.96932,797.0,84.0,M5.5/M6,5613.0,0.951815,0.19,-0.0039,586.137,M,5,0.24585965511353933,1.7673611111111112,1.2999999999999998,0.5,0
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1.0,1.0,Imaging,2013.0,10.3392924,3.933125,191.96932,1600.0,0.10086,G0 V,4045.3500000000004,0.36645,0.353185,-0.0039,33.8281,G,3,0.11780393825110236,4.555555555555555,2.933125,1.0,0
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1.0,1.0,Imaging,2013.0,10.3392924,2.3,191.96932,797.0,52.0,M3.5 V,4045.3500000000004,0.951815,0.4,-0.0039,33.8281,M,5,0.24585965511353933,1.7673611111111112,1.2999999999999998,0.5,0
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1.0,1.0,Imaging,2015.0,10.3392924,3.933125,191.96932,797.0,156.0,M6,4045.3500000000004,0.281,0.108,-0.0039,586.137,M,5,0.17542363589849794,1.7673611111111112,2.933125,0.5,0
