pl_orbper,pl_rade,pl_eqt,st_teff,st_lum,pl_dens,pl_insol,st_met,st_spectype,st_spectral_score,pl_bmasse,sy_dist
1076.6,2.3,797.0,5829.16,-0.08124,1.307,86.27,0.0256,Unknown,0.0,0,0
1083.2,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,G,3.0,0,0
1076.6,2.3,797.0,5882.0,-0.08124,1.307,86.27,0.04,G,3.0,0,0
1100.8,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
2391.0,2.3,797.0,5872.0,0.1978,1.307,86.27,0.04,Unknown,0.0,0,0
2287.0,2.3,797.0,5829.16,-0.08124,1.307,86.27,0.0256,Unknown,0.0,0,0
7586.0,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,G,3.0,0,0
19000.0,2.3,797.0,5829.16,-0.08124,1.307,86.27,0.0256,Unknown,0.0,0,0
14002.0,2.3,797.0,5872.0,0.1978,1.307,86.27,0.04,Unknown,0.0,0,0
10.3311664,2.3,700.0,5613.0,0.85,1.307,86.27,-0.027,F,4.0,0,0
9100.0,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
11688.0,2.3,797.0,7295.0,0.75157,1.307,86.27,-0.0014,Unknown,0.0,0,0
14965.0,2.3,797.0,7295.0,0.75157,1.307,86.27,-0.0014,Unknown,0.0,0,0
4.2293,2.3,797.0,5773.0,-0.08124,1.307,86.27,0.2,Unknown,0.0,0,0
4.230785,2.3,797.0,5758.0,0.13631,1.307,86.27,0.18,Unknown,0.0,0,0
4.231,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
4.23077,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
4.2307969,2.3,797.0,5760.76,-0.08124,1.307,86.27,0.2058,Unknown,0.0,0,0
6.7994,2.3,797.0,3286.0,-0.08124,1.307,86.27,0.16,M,1.0,0,0
33.747,2.3,797.0,3286.0,-0.08124,1.307,86.27,0.16,M,1.0,0,0
14.653,2.3,797.0,5613.0,-0.08124,1.307,86.27,0.27,G,3.0,0,0
14.465314,2.3,797.0,5250.0,-0.19695,1.307,86.27,0.35,Unknown,0.0,0,0
14.65152,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
14.65162,2.3,797.0,5250.0,-0.19695,1.307,86.27,0.35,Unknown,0.0,0,0
14.651,2.3,797.0,5250.0,-0.19695,1.307,86.27,0.35,Unknown,0.0,0,0
14.65126,2.3,797.0,5250.0,-0.19695,1.307,86.27,0.35,Unknown,0.0,0,0
14.65171,2.3,797.0,5317.89,-0.08124,1.307,86.27,0.3833,Unknown,0.0,0,0
14.6516,2.3,797.0,5172.0,-0.08124,1.307,86.27,0.35,Unknown,0.0,0,0
14.6,2.3,700.0,5613.0,-0.08124,1.307,86.27,-0.0014,K,2.0,0,0
14.651552,2.3,797.0,5198.0,-0.08124,1.307,86.27,0.39,G,3.0,0,0
14.648,2.3,797.0,5200.0,-0.08124,1.307,86.27,0.23,G,3.0,0,0
14.647,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
14.67,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
43.93,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
44.3936,2.3,797.0,5198.0,-0.08124,1.307,86.27,0.39,G,3.0,0,0
44.3827,2.3,797.0,5317.89,-0.08124,1.307,86.27,0.3833,Unknown,0.0,0,0
44.3446,2.3,797.0,5250.0,-0.19695,1.307,86.27,0.35,Unknown,0.0,0,0
44.3787,2.3,797.0,5250.0,-0.19695,1.307,86.27,0.35,Unknown,0.0,0,0
44.38,2.3,797.0,5250.0,-0.19695,1.307,86.27,0.35,Unknown,0.0,0,0
44.3989,2.3,797.0,5172.0,-0.08124,1.307,86.27,0.35,Unknown,0.0,0,0
44.4175,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
44.373,2.3,797.0,5250.0,-0.19695,1.307,86.27,0.35,Unknown,0.0,0,0
5360.0,2.3,797.0,5613.0,-0.08124,1.307,86.27,0.27,G,3.0,0,0
5370.0,2.3,797.0,5250.0,-0.19695,1.307,86.27,0.35,Unknown,0.0,0,0
4517.4,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
5218.0,2.3,797.0,5250.0,-0.19695,1.307,86.27,0.35,Unknown,0.0,0,0
4545.0,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
4909.0,2.3,797.0,5250.0,-0.19695,1.307,86.27,0.35,Unknown,0.0,0,0
4867.0,2.3,797.0,5250.0,-0.19695,1.307,86.27,0.35,Unknown,0.0,0,0
4825.0,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
4799.0,2.3,797.0,5198.0,-0.08124,1.307,86.27,0.39,G,3.0,0,0
5574.2,2.3,797.0,5172.0,-0.08124,1.307,86.27,0.35,Unknown,0.0,0,0
4820.0,2.3,797.0,5317.89,-0.08124,1.307,86.27,0.3833,Unknown,0.0,0,0
2.79674,2.3,797.0,5250.0,-0.19695,1.307,86.27,0.35,Unknown,0.0,0,0
2.808,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
0.73654625,2.02311213,1831.27,5250.0,-0.08124,1.307,2657.8322,-0.0014,Unknown,0.0,0,0
0.736539,1.91,797.0,5250.0,-0.19695,6.4,86.27,0.35,Unknown,0.0,0,0
0.7365474,1.947,797.0,5613.0,-0.08124,6.421,86.27,-0.0014,Unknown,0.0,0,0
0.7365474,1.875,797.0,5172.0,-0.08124,6.66,86.27,0.35,Unknown,0.0,0,0
0.73654625,2.3,797.0,5234.0,-0.08124,1.307,86.27,0.31,Unknown,0.0,0,0
0.736543,1.856,797.0,5272.0,-0.08124,1.307,86.27,0.37,Unknown,0.0,0,0
0.7365478,2.3,797.0,5250.0,-0.19695,1.307,86.27,0.35,Unknown,0.0,0,0
0.736546,2.3,797.0,5198.0,-0.08124,1.307,86.27,0.39,G,3.0,0,0
0.7365417,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
0.736546,2.173,797.0,5250.0,-0.19695,4.5,86.27,0.35,Unknown,0.0,0,0
0.7365445,2.3,797.0,5317.89,-0.08124,1.307,86.27,0.3833,Unknown,0.0,0,0
0.73654604,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
0.7365437,2.08,1958.0,5234.0,-0.08124,4.78,86.27,0.31,Unknown,0.0,0,0
0.737,1.897,797.0,5172.0,-0.08124,6.25,86.27,0.35,Unknown,0.0,0,0
10.3311664,2.3,797.0,5250.0,-0.19695,1.307,86.27,0.35,Unknown,0.0,0,0
10.3311664,1.92,797.0,5250.0,-0.19695,6.3,86.27,0.35,Unknown,0.0,0,0
0.7365515,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
0.73654,2.0,797.0,5613.0,-0.08124,5.9,86.27,-0.0014,G,3.0,0,0
259.88,2.3,797.0,5172.0,-0.08124,1.307,86.27,0.35,Unknown,0.0,0,0
260.0,2.3,797.0,5250.0,-0.19695,1.307,86.27,0.35,Unknown,0.0,0,0
260.7,2.3,797.0,5250.0,-0.19695,1.307,86.27,0.35,Unknown,0.0,0,0
262.0,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
261.2,2.3,797.0,5250.0,-0.19695,1.307,86.27,0.35,Unknown,0.0,0,0
260.58,2.3,797.0,5198.0,-0.08124,1.307,86.27,0.39,G,3.0,0,0
260.91,2.3,797.0,5250.0,-0.19695,1.307,86.27,0.35,Unknown,0.0,0,0
260.98,2.3,797.0,5317.89,-0.08124,1.307,86.27,0.3833,Unknown,0.0,0,0
874.774,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
919.86,2.3,797.0,4941.0,1.1186,1.307,86.27,-0.17,K,2.0,0,0
934.3,2.3,797.0,4938.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
899.0,2.3,797.0,4978.0,1.176,1.307,86.27,-0.13,K,2.0,0,0
4.21487,2.3,797.0,5585.57,-0.08124,1.307,86.27,0.0275,Unknown,0.0,0,0
4.215,2.3,797.0,5577.0,-0.095,1.307,86.27,-0.01,G,3.0,0,0
38.0957,2.3,797.0,5585.57,-0.08124,1.307,86.27,0.0275,Unknown,0.0,0,0
38.021,2.3,797.0,5577.0,-0.095,1.307,86.27,-0.01,G,3.0,0,0
123.01,2.3,797.0,5577.0,-0.095,1.307,86.27,-0.01,G,3.0,0,0
