pl_orbper,pl_orbsmax,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,st_lum,pl_rade,pl_insol,temp_score,radius_score,insol_score,habitability_score,habitability_label
3.1316666,0.03769,77.23269,954.6,4546.0,0.7152,0.7279,-0.70885,8.9672,137.6,0.0,0.0,0.0,0.0,0
4.1480467,0.04515,112.19399,834.8,4405.0,0.6977,0.7133,-0.78489,8.574885,80.45,0.0,0.0,0.0,0.0,0
5.416081,0.06112,256.17098,1128.0,5670.0,1.036,1.038,-0.00436,12.621334,269.0,0.0,0.0,0.0,0.0,0
3.560829,0.04708,210.40346,1528.0,5688.0,1.46,1.097,0.30016,12.923977,903.9,0.0,0.0,0.0,0.0,0
7.817953,0.07908,1080.622,1226.1,5542.0,1.664,1.076,0.36922,13.394755,374.2,0.0,0.0,0.0,0.0,0
3.2768837,0.04163,56.89157,1237.0,5416.0,0.933,0.896,-0.17328,11.825495,387.4,0.0,0.0,0.0,0.0,0
3.0566527,0.04026,305.1168,1398.3,5627.0,1.07,0.931,0.01199,13.529263,634.1,0.0,0.0,0.0,0.0,0
4.908897,0.06562,305.1168,1793.0,6554.0,2.113,1.564,0.86747,18.819911,1711.0,0.0,0.0,0.0,0.0,0
3.105161,0.04497,260.93843,1634.0,6277.0,1.31,1.257,0.37658,16.824709,1178.0,0.0,0.0,0.0,0.0,0
3.1414391,0.04714,1694.0339,1998.0,6626.0,1.841,1.411,0.76716,15.815899,2637.0,0.0,0.0,0.0,0.0,0
1.6091788,0.03032,460.8535,2193.0,6594.0,1.441,1.435,0.54654,18.887165,3821.0,0.0,0.0,0.0,0.0,0
3.5862202,0.05071,410.0007,1741.0,6147.0,1.748,1.351,0.59218,13.809488,1521.0,0.0,0.0,0.0,0.0,0
2.2252577,0.03211,183.38791,1295.7,5137.0,0.8785,0.892,-0.31758,10.592505,466.6,0.0,0.0,0.0,0.0,0
1.8882378,0.03632,4100.007,2730.0,7930.0,1.881,1.78,1.07918,15.513256,9110.0,0.0,0.0,0.0,0.0,0
7.3279474,0.066517,39.855882,739.3,4656.1,0.7214,0.7311,-0.65896,8.0973816,49.58,0.0,0.0,0.0,0.0,0
1.73185606,0.02384,464.02947422,895.1,3776.9,0.5758,0.601,-1.2161,11.56766808,106.9,0.0,0.0,0.0,0.0,0
2.7886556,0.032742,156.05374784,772.3,3790.4,0.5848,0.6017,-1.19661,9.90873894,59.26,0.0,0.0,0.0,0.0,0
1.9416423,0.02658,835.570882,939.8,4016.0,0.6259,0.662,-1.0381,12.09449018,129.8,0.0,0.0,0.0,0.0,0
3.0876262,0.03607,436.69623122,828.3,4071.0,0.6428,0.655,-0.99183,13.05846252,78.37,0.0,0.0,0.0,0.0,0
6.134985,0.07071,688.41632956,1494.0,5683.0,2.102,1.251,0.61805,12.73340208,755.3,0.0,0.0,0.0,0.0,0
6.1349847,0.08635,725.28442477,1360.0,5872.0,1.993,1.353,0.6458,12.06086323,593.4,0.0,0.0,0.0,0.0,0
11.57797,0.0964,4.72,905.0,5664.0,1.058,0.87,0.0162,1.664,111.6,0.0,0.3360000000000001,0.0,0.10080000000000001,0
11.57779,0.0969,4.62,911.0,5850.0,1.012,0.906,0.03383,1.482,114.0,0.0,0.518,0.0,0.1554,0
27.59221,0.1721,11.24,677.0,5664.0,1.058,0.87,0.0162,2.916,35.1,0.0,0.0,0.0,0.0,0
27.5909,0.1729,11.29,682.0,5850.0,1.012,0.906,0.03383,2.608,36.0,0.0,0.0,0.0,0.0,0
107.245,0.425,8.82,431.0,5664.0,1.058,0.87,0.0162,2.562,5.74,0.5034722222222222,0.0,0.0,0.2013888888888889,0
11.53533,0.1097,131.89945,1228.3,5521.0,2.336,1.324,0.65992,11.500434,356.0,0.0,0.0,0.0,0.0,0
21.2164294,0.1632,1036.12060682,888.0,6046.0,1.517,1.285,0.44091,12.26262489,68.8,0.0,0.0,0.0,0.0,0
17.471278,0.1334,19.7,769.0,5788.0,0.985,1.031,0.012,3.55,58.1,0.0,0.0,0.0,0.0,0
