pl_rade,pl_eqt,pl_orbper,stellar_compatibility
18.1614,1664.0,4.007232,-6200.5
2.51,493.0,67.8299,-6313.5
12.99286305,756.75,2.45523883412,-3790.5
2.3,797.0,4.16056658,-5320.59
2.3,797.0,4.54217,-5888.5
3.43,797.0,10.3392924,-5431.5
1.8,812.0,16.3992561,-6154.5
1.76,755.0,7.40610775,-4976.5
13.7646283,1693.0,3.6515568,-6368.5
1.587,797.0,10.3392924,-5258.5
2.3,797.0,26.0841212,-5809.5
2.3,797.0,4.1936623,-6422.5
11.36,797.0,10.3392924,-6124.5
2.11,535.0,24.3078946,-5375.5
1.72,796.0,5.34264507,-5092.5
1.86,641.0,5.747711909,-4250.5
2.3,797.0,40.1097357546,-5586.5
2.4,797.0,21.3473612,-5703.5
2.3,797.0,76.73312,-5915.03
2.3,797.0,11.47598101,-6140.5
1.67,890.0,8.73485836,-5980.5
2.3,797.0,9.98973387,-5002.5
2.3,797.0,8.29561738,-3838.5
2.65,797.0,39.4571522,-6364.5
1.96,702.0,38.5752965,-6476.5
1.86,1221.0,6.05922662,-5900.5
2.8,797.0,2.534756273,-5996.5
2.3,797.0,8.0413333665,-4660.91
2.3,797.0,13.81020318,-5596.5
12.016,904.0,10.863502,-5566.5
1.70824866,1366.0,2.36902,-5418.5
1.336,341.0,34.98956,-3929.5
4.01,766.0,22.71443351,-5786.5
2.42,746.0,23.2218115,-5806.5
2.3,797.0,41.74945104,-5461.81
1.52,794.0,14.2563227,-6129.5
2.33,407.0,47.4277116,-5130.5
1.506,797.0,8.09219642,-5735.5
2.07,797.0,6.53044,-5310.5
2.3,797.0,6.73893544,-4164.5
2.787,797.0,10.3392924,-4681.5
2.3,797.0,2.643897621,-3348.5
1.47,797.0,12.64655,-5611.5
2.715,797.0,10.3392924,-5474.5
2.2963977,1285.16,2.6800535,-5495.5
2.3,797.0,1076.6,-5827.66
2.3,797.0,14.5573218979,-5622.5
2.3,797.0,10.3392924,-5611.5
3.02,803.0,22.20809549,-6334.5
2.029,797.0,10.3392924,-4076.5
1.02,872.0,7.41086267,-5514.5
1.69,797.0,14.38338734,-6182.5
1.127,198.6,12.35294,-2557.5
2.3,797.0,10.86345165,-5566.5
1.46,797.0,0.934884242,-4868.5
2.3,797.0,35.01190283,-5959.67
12.3,1200.0,2.2,-5611.5
2.3,797.0,5.6905936015,-5283.29
3.63582354,797.0,9.229579926,-6318.5
1.45,797.0,17.2923453,-5921.5
1.681,797.0,10.3392924,-6007.5
2.06,797.0,5.95489377,-4498.5
0.944,797.0,10.3392924,-5723.5
2.3,797.0,1088.0,-4423.5
11.1424,588.0,8.34998,-4234.5
3.427,797.0,10.3392924,-5457.5
2.3,797.0,21.96401646,-5347.65
1.34,708.0,2.806242328,-3938.5
1.58,626.0,27.0141783,-6165.5
2.85,500.0,29.8454,-5368.5
1.4,1125.0,2.633857233,-5398.5
2.3,797.0,10.3392924,-5611.5
0.99,1459.0,2.403643296,-5975.5
2.98,166.0,364.758031,-4384.5
1.41,986.0,11.24284,-6532.5
3.65,565.0,24.61482073,-5465.5
2.3,797.0,1257.2,-5315.5
1.202,797.0,11.1317519,-6052.5
1.59,1301.0,4.562143,-5402.5
2.771,797.0,7.170732075,-5565.5
1.41,208.0,267.291,-4923.5
0.99,1123.0,6.11009134,-5969.5
2.3,797.0,256.78,-6247.66
2.53,797.0,14.844387,-6618.5
2.6,393.0,59.6626,-5417.5
1.345,797.0,9.715043,-3621.5
12.24,1000.0,7.891448474,-5851.5
1.14,797.0,3.886803,-4046.5
2.57,902.0,6.53192704,-5636.5
1.56,1043.0,4.35409304,-5453.5
2.3,797.0,963.6,-5564.5
13.67498,797.0,10.3392924,-5848.5
4.22,591.0,16.23946714,-5128.5
1.76,797.0,9.30412078,-4595.5
2.3,797.0,5174.0,-5611.5
1.63,611.0,27.5724,-6056.5
1.43,797.0,3.749100061,-5848.5
1.302,797.0,10.3392924,-5880.5
2.3,797.0,1.224866441,-5611.5
1.32,419.0,22.4764425,-4558.5
1.82,2119.0,0.571331,-5615.5
1.09,1137.0,1.499144441,-4721.5
2.539,797.0,14.175685,-5658.5
2.64,797.0,33.0063025,-6059.5
2.65,964.0,5.154484417,-5429.5
2.3,797.0,535.6,-4051.0
13.988832,1729.0,3.1915289,-6427.5
3.8,797.0,1.921076,-5611.5
3.44807,958.0,8.2669589,-5409.6
2.3,797.0,3.092514,-6166.5
2.3,797.0,10.3392924,-5611.5
2.3,797.0,15.74953307,-5771.5
1.55313499,1072.07,3.79588997084,-5722.37
2.3,797.0,14.53260546,-5838.5
2.3,1117.0,10.3392924,-5325.1
0.952,681.0,19.578328,-5493.5
2.3,797.0,3.6193083642,-5500.5
2.3,797.0,10.3392924,-5611.5
2.93,797.0,17.81595067,-5940.5
2.5,584.0,16.85827722,-5031.5
2.3,797.0,1.21749448,-6594.54
7.31,1258.0,4.147021189,-5816.5
2.06,371.0,62.8916228,-5312.5
0.98,1508.0,2.707306716,-6285.5
2.53,500.0,16.70920692,-4619.5
2.3,797.0,5.132486123,-3670.5
2.3,797.0,37.10103287,-5622.04
2.3,797.0,44.2993483,-5316.5
6.21,346.0,71.52530845,-4848.5
1.59887007,797.0,7.649710178,-5853.5
2.3,797.0,1.9227999353,-5072.5
2.3,797.0,6.7669103935,-5178.31
2.3,797.0,464.4,-4916.5
1.343,797.0,10.3392924,-5055.5
2.3,797.0,391.9,-5898.5
2.33,274.0,59.87769,-4194.5
2.3,797.0,13.32381364,-4421.5
1.18,797.0,22.40788397,-3874.5
10.4375,1068.0,8.2148505,-6181.5
2.3,797.0,14.03490255,-5261.43
3.15,1023.0,10.74242766,-5826.5
1.61,797.0,2.795894073,-5294.5
1.93,1034.0,5.70071153,-5991.5
13.70374653,1406.03,6.18026138745,-6511.5
2.3,797.0,4.0258196598,-5772.5
2.3,797.0,21.4054422,-4817.94
2.3,797.0,13.14496741,-5378.62
2.3,797.0,4.36273233,-5587.82
2.3,797.0,1.291626,-3687.5
2.3,797.0,2.790643481,-4524.09
1.52,797.0,3.38555488,-6295.5
1.82830556,797.0,8.054787,-4891.5
2.72,797.0,10.3392924,-5998.5
0.68,1084.0,7.545922037,-5786.5
2.3,797.0,9.428840657,-6024.02
2.2,755.0,9.178475,-5504.5
2.06,1648.0,2.09227115,-5563.5
2.51,313.0,27.52197994,-3768.5
2.3,797.0,3.886885378,-6657.49
2.3,797.0,54.6537988753,-5756.5
2.3,797.0,882.70001,-5977.5
2.3,797.0,3.0051525421,-4835.5
2.5,666.0,13.64625,-5538.5
2.3,797.0,11.51517167,-4927.5
12.801,1361.0,2.3506186,-5591.5
2.3,797.0,5.74813571,-5898.5
3.009,797.0,12.51618164,-5936.5
2.3,797.0,10.3392924,-5611.5
2.3,797.0,10.70867,-5398.99
2.3,797.0,4.71510843,-4810.5
1.6,284.0,18.44883,-3466.5
0.42,746.0,0.824000125,-3394.5
2.3,1500.0,10.3392924,-5611.5
14.43,873.0,21.0871953,-6264.5
2.597,797.0,4.803352,-5005.5
1.7,797.0,2.936526966,-5582.5
2.3,797.0,28.51117196,-4589.4
0.79,491.0,10.31202,-3898.5
2.3,797.0,21.6771184589,-4851.36
12.52043144,1167.0,8.872078,-5878.5
2.3,1260.0,3.5098,-5998.5
2.3,797.0,1.213770423,-3355.5
2.74,651.0,13.22178,-5219.5
2.98,473.0,39.6769617,-5242.5
1.31,1223.0,2.51462432,-5677.5
2.20677414,797.0,40.0306015,-5853.5
2.366,797.0,10.3392924,-5708.5
2.3,797.0,67.8321638,-5961.5
1.72,436.0,5.14892346,-3462.5
2.61,1308.0,3.162692075,-5819.5
2.3,797.0,1.827088386,-5499.36
1.78,1258.0,7.64972303,-5718.5
2.3,1250.0,23000.0,-5611.5
2.3,797.0,103.95,-6012.5
2.3,797.0,11.3611763269,-5869.5
1.96,452.0,29.3494775,-4984.5
7.27,306.0,95.5,-4578.5
3.64,269.0,265.467621,-5722.5
3.08,972.0,11.427545631,-5753.5
0.61,1197.0,3.03266154,-5723.5
2.0,540.0,18.643516,-5193.5
3.19,1004.0,3.936993706,-5429.5
14.14533494,2012.9,1.74548279134,-6672.5
2.3,797.0,10.3392924,-5611.5
0.885,797.0,10.3392924,-3239.5
2.73,631.0,22.24813967,-5747.5
1.35,797.0,10.104665,-6073.5
0.705,664.5,7.814,-4283.5
2.7438269,528.67,22.808533,-5163.5
2.3,797.0,655.6,-4712.5
1.3,797.0,3.568096926,-6111.5
11.847913,797.0,3.8681382,-4698.5
2.3,797.0,4.3093864422,-5607.5
11.29865255,981.2,4.00878322,-4960.5
13.26022417,1395.0,2.8807198,-5638.5
0.7,1015.0,3.4462125,-5372.5
2.3,797.0,1.625522174,-5482.24
13.78707,797.0,2.18467,-5828.5
2.3,797.0,10.3392924,-5611.5
2.62,593.0,8.70797904,-4521.5
1.547,797.0,10.3392924,-5646.5
0.73,797.0,10.3392924,-5107.5
2.3,797.0,7.23857938,-5345.46
2.3,797.0,53.753,-5033.5
2.27,586.0,16.00454026,-5176.5
2.3,797.0,2.1043413198,-3503.5
2.3,797.0,330.0,-5179.5
1.26,1232.0,2.76263462,-5770.5
1.32,797.0,5.262155,-5598.5
