Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Logistic Regression,0.8591100344256024,0.8608809993425378,0.9928723081589323,0.9221776181421227,0.9622970441867598
Random Forest,1.0,1.0,1.0,1.0,1.0
